PUC_Product_Type,Observed_Prevalence_ProductType_Communal (CPS),Observed_Prevalence_ProductType_Communal,Prev_hh,PUCID_PT_description
CP.0100.010,0.51,0.51,0.52,"air freshener , air freshener"
CP.0200.010,0.76,0.76,0.8,"bathroom , bathroom cleaner"
CP.0300.010,0.5,0.5,0.52,"carpet and floor , carpet cleaner"
CP.0300.020,0.23,0.23,0.2,"carpet and floor , carpet deodorizer"
CP.0300.030,0.71,0.71,0.69,"carpet and floor , floor cleaner"
CP.0300.040,0.73,0.54,0.69,"carpet and floor , floor polish"
CP.0400.020,0.25,0.25,0.4,"dishwasher and dishes , automatic dishwashing additive"
CP.0400.030,0.53,0.53,0.8,"dishwasher and dishes , automatic dishwashing detergent"
CP.0400.040,0.9,0.9,0.9,"dishwasher and dishes , dish soap"
CP.0500.010,0.35,0.32,0.3,"drain , drain"
CP.0600.010,0.02,0.02,0.01,"fireplace , fireplace"
CP.0700.010,0.6,0.88,0.8,"general household cleaning , bleach"
CP.0700.010,0.6,0.88,0.52,"general household cleaning , bleach"
CP.0700.010,0.6,0.88,0.8,"general household cleaning , bleach"
CP.0700.010,0.6,0.88,0.52,"general household cleaning , bleach"
CP.0700.020,0.62,0.62,0.57,"general household cleaning , disinfectant"
CP.0700.030,0.88,0.88,0.88,"general household cleaning , glass cleaner"
CP.0700.040,1,1,1,"general household cleaning , surface cleaner"
CP.0900.010,0.12,0.12,0.1,"heavy duty cleaner , heavy duty cleaner"
CP.1000.010,0.01,0.01,0.01,"houseplant care , houseplant care"
CP.1100.010,0.14,0.14,0.1,"lamp oil/lighter fluid , lamp oil/lighter fluid"
CP.1200.010,0.01,0.01,0.05,"laundry and fabric treatment , dry cleaner"
CP.1200.020,0.82,0.82,0.8,"laundry and fabric treatment , dryer sheets"
CP.1200.030,0.72,0.72,0.7,"laundry and fabric treatment , fabric deodorizer"
CP.1200.040,0.44,0.44,0.4,"laundry and fabric treatment , fabric protectant"
CP.1200.050,0.77,0.77,0.8,"laundry and fabric treatment , fabric softener"
CP.1200.060,0.81,0.81,0.8,"laundry and fabric treatment , laundry detergent"
CP.1200.070,0.78,0.78,0.8,"laundry and fabric treatment , laundry fragrance"
CP.1200.080,0.8,0.8,0.8,"laundry and fabric treatment , laundry stain remover"
CP.1200.090,0.45,0.45,0.4,"laundry and fabric treatment , laundry starch"
CP.1300.010,0.27,0.27,0.3,"lime remover , lime remover"
CP.1400.010,0.46,0.46,0.5,"metal specific , metal polish"
CP.1500.010,0.35,0.35,0.38,"oven , oven cleaner"
CP.1600.010,0.09,0.09,0.12,"shoes , shoe polish or protectant"
CP.1700.010,0.49,0.49,0.4,"upholstery specific , upholstery cleaner"
CP.1800.010,0.54,0.54,0.64,"wood specific , wood polish"
EL.0300.050,0.33,0.33,0.4,"computers and accessories/supplies , printer ink"
EL.0300.060,0.34,0.34,0.4,"computers and accessories/supplies , printer toner"
EL.0400.010,0.1,0.1,0.13,"electronics cleaner , electronics cleaner"
HM.0100.010,0.25,0.25,0.24,"adhesives and adhesive removers , adhesive remover"
HM.0100.020,0.39,0.39,0.61,"adhesives and adhesive removers , multipurpose adhesive"
HM.0100.030,0.51,0.51,0.61,"adhesives and adhesive removers , wood adhesive"
HM.0400.010,0.31,0.31,0.61,"caulk/sealant , caulk/sealant"
HM.0500.010,0.02,0.02,0.05,"concrete , concrete"
HM.0600.010,0.08,0.08,0.08,"corrosion protection , corrosion protection"
HM.0700.010,0.18,0.18,0.28,"degreaser , degreaser"
HM.0800.010,0.3,0.3,0.43,"finish , finish"
HM.1000.010,0.22,0.22,0.3,"insulation , spray foam"
HM.1200.010,0.05,0.05,0.05,"lock deicer , lock deicer"
HM.1300.010,0.23,0.23,0.4,"lubricant , lubricant"
HM.1400.010,0.31,0.31,0.44,"paint/stain and related products , paint"
HM.1400.020,0.01,0.01,0.05,"paint/stain and related products , paint cleaner"
HM.1400.030,0.01,0,0.01,"paint/stain and related products , paint texture"
HM.1400.040,0.32,0.32,0.36,"paint/stain and related products , paint thinner"
HM.1400.050,0.09,0.09,0.14,"paint/stain and related products , primer"
HM.1400.060,0.27,0.27,0.43,"paint/stain and related products , stain"
HM.1400.070,0.25,0.25,0.3,"paint/stain and related products , stripper"
HM.1500.010,0.01,0.01,0.01,"patch and repair , patch and repair"
HM.1500.020,0.26,0.26,0.4,"patch and repair , putty or filler"
HM.1600.010,0,0,0.01,"plumbing , plumbing"
HM.1700.010,0,0,0.01,"refrigerant , refrigerant"
HM.1800.010,0,0,0.01,"roof , roof"
HM.1900.010,0.05,0.05,0.3,"septic system , septic system"
HM.2000.040,0.37,0.37,0.4,"surface sealers , surface sealer"
HM.2100.010,0,0,0.05,"tiling , grout sealer"
HM.2100.020,0,0,0.1,"tiling , mortar or grout"
HM.2400.010,0.01,0.01,0.01,"welding , welding"
LY.0100.010,0.04,0.04,0.1,"cleaner , cleaner"
LY.0200.010,0.31,0.31,0.5,"grill/camping fuel , grill/camping fuel"
LY.0300.010,0.16,0.16,0.3,"herbicide , herbicide"
LY.0400.010,0.19,0.18,0.3,"lawn fertilizer , lawn fertilizer"
LY.0500.010,0.05,0.05,0.05,"lawnmower , lawnmower fluids"
LY.0600.010,0.09,0.09,0.2,"plants and garden , garden care"
LY.0600.020,0.22,0.21,0.4,"plants and garden , garden fertilizer"
LY.0600.030,0.3,0.29,0.4,"plants and garden , mulch"
LY.0600.040,0.15,0.15,0.2,"plants and garden , potting soil"
LY.0600.050,0.01,0.01,0.01,"plants and garden , trees"
LY.0700.010,0,0,0.05,"pool , pool chemicals"
LY.0800.010,0.05,0.04,0.1,"surface deicer , surface deicer"
PC.0800.060,0,0,0.15,"child specific , baby wipes"
PC.0800.080,0,0,0.01,"child specific , diaper cream"
PC.2300.020,0,0.75,0.03,"make-up and related , cosmetic tool cleaner"
PC.2700.050,0,0.16,0.03,"shaving and hair removal , clipper lubricant/cleaner "
PE.0100.010,0,0,0.01,"animal repellent , animal repellent "
PE.0200.010,0.04,0.03,0.05,"fungicide , fungicide "
PE.0300.020,0.34,0.34,0.5,"insect repellent , insect repellent - exterior "
PE.0400.010,0.64,0.64,0.9,"insecticide , insecticide "
PE.0400.020,0.59,0.59,0.9,"insecticide , insecticide - exterior "
PE.0400.030,0.66,0.66,0.9,"insecticide , insecticide - interior "
PE.0500.010,0.04,0.02,0.07,"rodenticide , rodenticide "
PT.0100.060,0.05,0.05,0.1,"all pets , other pet treatments "
PT.0100.070,0.23,0.23,0.4,"all pets , pesticide - pet "
PT.0100.080,0.06,0.06,0.1,"all pets , pet shampoo "
PT.0100.090,0.55,0.55,0.8,"all pets , pet stain cleaner "
PT.0200.010,0.18,0.18,0.3,"cats , cat litter "
PT.0400.010,0.04,0.04,0.02,"fish , aquarium "
VE.0100.010,0.06,0.06,0.1,"auto body work , auto paint "
VE.0100.020,0.38,0.38,0.47,"auto body work , body repair "
VE.0100.030,0.14,0.14,0.16,"auto body work , detailing "
VE.0100.040,0.07,0.07,0.05,"auto body work , windows/windshield "
VE.0200.020,0.01,0.01,0.01,"boat care and maintenance , boat cleaner - general "
VE.0200.040,0.02,0.02,0.01,"boat care and maintenance , boat engine fluids "
VE.0300.010,0.2,0.2,0.2,"car interior , auto air freshener "
VE.0400.010,0.43,0.43,0.47,"car surface treatment , body cleaner "
VE.0400.020,0.36,0.36,0.47,"car surface treatment , body wax "
VE.0400.040,0.21,0.21,0.28,"car surface treatment , degreaser "
VE.0500.010,0.01,0.01,0.03,"engine maintenance , antifreeze "
VE.0500.020,0.03,0.03,0.05,"engine maintenance , auto fluids and additives "
VE.0500.030,0.2,0.2,0.18,"engine maintenance , auto lubricant "
VE.0500.040,0,0,0.01,"engine maintenance , auto refrigerant "
VE.0500.050,0.21,0.21,0.25,"engine maintenance , motor oil "
