PUCID_productype,PUCID_refined,New.Description,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
AC.0100.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.01,0.2,NA,NA,NA,NA,NA,NA,NA
AC.0100.010,AC.0100.010.050.F,"body paint , body paint spray",1,Personal,I,0,NA,NA,0.5,0.5,0.5,6,1,20,1,0,20,1
AC.0100.010,AC.0100.010.099.F,"body paint , body paint NOC",1,Personal,I,0,NA,NA,0.5,0.5,0.5,6,1,20,1,0,20,1
AC.0200.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.05,0.05,0.6,NA,NA,NA,NA,NA,NA,NA
AC.0200.010,AC.0200.010.099.F,"children's art and toys , bubble solution NOC",1,Personal,O,0,NA,NA,1,1,1,24,0.3,30,1,0,20,1
AC.0200.020,#N/A,#N/A,0,Personal,,0,NA,NA,0.05,0.05,1,NA,NA,NA,NA,NA,NA,NA
AC.0200.020,AC.0200.020.099.F,"children's art and toys , crayons NOC",1,Personal,I,0,NA,NA,1,1,1,364,0,30,1,0,0.1,1
AC.0200.030,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.01,0.2,NA,NA,NA,NA,NA,NA,NA
AC.0200.030,AC.0200.030.099.F,"children's art and toys , finger paint NOC",1,Personal,I,0,NA,NA,1,1,1,6,1,20,1,0,10,1
AC.0200.040,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.01,0.2,NA,NA,NA,NA,NA,NA,NA
AC.0200.040,AC.0200.040.099.F,"children's art and toys , play dough NOC",1,Personal,I,0,NA,NA,1,1,1,6,1,20,1,0,10,1
AC.0300.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA
AC.0300.010,AC.0300.010.099.F,"fabric treatment and dye , fabric dye NOC",1,Personal,I,0,NA,NA,1,1,1,12,0.3,30,1,0,50,1
AC.0300.020,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.05,0.05,NA,NA,NA,NA,NA,NA,NA
AC.0300.020,AC.0300.020.050.F,"fabric treatment and dye , fabric paints and sealers spray",1,Personal,I,0,NA,NA,0.5,0.5,0.5,12,0.3,30,1,0,50,1
AC.0300.020,AC.0300.020.099.F,"fabric treatment and dye , fabric paints and sealers NOC",1,Personal,I,0,NA,NA,0.5,0.5,0.5,12,0.3,30,1,0,50,1
AC.0400.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA
AC.0400.010,AC.0400.010.099.F,"fogger , fogger NOC",1,Personal,I,0,NA,NA,1,1,1,1,1,2,1,0,100,1
AC.0500.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.4,0.4,0.05,NA,NA,NA,NA,NA,NA,NA
AC.0500.010,AC.0500.010.050.F,"general arts and crafts supplies , arts and crafts adhesive spray",1,Personal,I,0,NA,NA,0.5,0.5,0.5,12,0.3,10,1,20,255,1
AC.0500.010,AC.0500.010.099.F,"general arts and crafts supplies , arts and crafts adhesive NOC",1,Personal,I,0,NA,NA,0.5,0.5,0.5,12,0.3,10,1,20,255,1
AC.0500.020,#N/A,#N/A,0,Personal,,0,NA,NA,0.1,0.2,0.3,NA,NA,NA,NA,NA,NA,NA
AC.0500.020,AC.0500.020.099.F,"general arts and crafts supplies , arts and crafts cleaner NOC",1,Personal,I,0,NA,NA,1,1,1,180,0.3,10,1,20,50,1
AC.0500.030,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA
AC.0500.030,AC.0500.030.050.F,"general arts and crafts supplies , arts and crafts finish spray",1,Personal,I,0,NA,NA,0.5,0.5,0.5,12,0.3,5,1,25,50,1
AC.0500.030,AC.0500.030.099.F,"general arts and crafts supplies , arts and crafts finish NOC",1,Personal,I,0,NA,NA,0.5,0.5,0.5,12,0.3,5,1,25,50,1
AC.0500.040,#N/A,#N/A,0,Personal,,0,NA,NA,0.05,0.2,0.2,NA,NA,NA,NA,NA,NA,NA
AC.0500.040,AC.0500.040.099.F,"general arts and crafts supplies , arts and crafts paint NOC",1,Personal,I,0,NA,NA,1,1,1,24,0.3,30,1,30,20,1
AC.0500.050,#N/A,#N/A,0,Personal,,0,NA,NA,0.05,0.05,1,NA,NA,NA,NA,NA,NA,NA
AC.0500.050,AC.0500.050.099.F,"general arts and crafts supplies , craft kit NOC",1,Personal,I,0,NA,NA,1,1,1,364,0,30,1,0,0.1,1
AC.0500.060,#N/A,#N/A,0,Personal,,0,NA,NA,0.1,0.1,0.01,NA,NA,NA,NA,NA,NA,NA
AC.0500.060,AC.0500.060.050.F,"general arts and crafts supplies , flocking spray",1,Personal,I,0,NA,NA,1,1,1,3,1,10,1,0,140,1
AC.0600.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.1,0.2,0,NA,NA,NA,NA,NA,NA,NA
AC.0600.010,AC.0600.010.099.F,"gun cleaner , gun cleaner NOC",1,Personal,I,0,NA,NA,1,1,1,3,1,30,1,0,50,1
AC.0700.020,#N/A,#N/A,0,Personal,,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
AC.0700.020,AC.0700.020.099.F,"home office , pens and markers NOC",1,Personal,I,0,NA,NA,1,1,1,364,0,30,1,0,0.1,1
AC.0700.030,#N/A,#N/A,0,Personal,,0,NA,NA,0.02,0.02,0,NA,NA,NA,NA,NA,NA,NA
AC.0700.030,AC.0700.030.099.F,"home office , white out NOC",1,Personal,I,0,NA,NA,1,1,1,12,0.3,5,0.3,0,3,1
AC.0800.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA
AC.0800.010,AC.0800.010.099.F,"pottery making , glaze NOC",1,Personal,I,0,NA,NA,1,1,1,12,0.3,30,1,90,100,1
CP.0100.010,#N/A,#N/A,0,Communal,,0,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0100.010,CP.0100.010.051.F,"air freshener , air freshener gel",1,Communal,I,0,NA,0.2,0.2,0.8,0,364,0,1,0.6,0,5,1
CP.0100.010,CP.0100.010.052.F,"air freshener , air freshener liquid",1,Communal,I,0,NA,0.2,0.2,0.8,0,364,0,1,0.6,0,5,1
CP.0100.010,CP.0100.010.054.F,"air freshener , air freshener oil or diffuse",1,Communal,I,0,NA,0.2,0.2,0.8,0,364,0,3,0.6,0,5,1
CP.0100.010,CP.0100.010.099.F,"air freshener , air freshener NOC",1,Communal,I,0,NA,0.2,0.2,0.8,0,364,0,3,0.6,0,5,1
CP.0100.010,CP.0100.010.050.F,"air freshener , air freshener spray",1,Communal,I,0,NA,0.2,0.2,0.8,0,364,0,3,0.6,0,5,1
CP.0200.010,#N/A,#N/A,0,Communal,,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0200.010,CP.0200.010.050.F,"bathroom , bathroom cleaner spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,100,0.3,20,0.6,0,50,1
CP.0200.010,CP.0200.010.099.F,"bathroom , bathroom cleaner NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,100,0.3,20,0.6,0,50,1
CP.0300.010,#N/A,#N/A,0,Communal,,Carpet cleaning,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0300.010,CP.0300.010.050.F,"carpet and floor , carpet cleaner spray",1,Communal,I,Carpet cleaning,NA,0.5,0.2,0.8,0,12,0.3,30,0.6,0,200,1
CP.0300.010,CP.0300.010.099.F,"carpet and floor , carpet cleaner NOC",1,Communal,I,Carpet cleaning,NA,0.5,0.2,0.8,0,12,0.3,30,0.6,0,200,1
CP.0300.020,#N/A,#N/A,0,Communal,,Carpet cleaning,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0300.020,CP.0300.020.099.F,"carpet and floor , carpet deodorizer NOC",1,Communal,I,Carpet cleaning,NA,1,0.2,0.8,0,12,0.3,30,0.6,0,500,1
CP.0300.030,#N/A,#N/A,0,Communal,,Home cleaning,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0300.030,CP.0300.030.099.F,"carpet and floor , floor cleaner NOC",1,Communal,I,Home cleaning,NA,1,0.2,0.8,0,100,0.3,30,0.6,0,600,1
CP.0300.040,#N/A,#N/A,0,Communal,,Home cleaning,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
