"Day.of.the.year","Start.Time.hr.using.military.time","End.Time.hr.using.military.time","Duration.hr","Duration.min","Activity.Code","Diary.category","PUCID.productype","sheds.id.refined","PUCID.PT.description","Personal.or.Communal","Clusters","Indoor.outdoor","periodicity","dur.actural","dur.theory.combine","new.cluster.PUC","new.cluster.name","fni.list","freq.list","agg.fold.list","freq.float","flag","household.index","person.index","person.gender","person.age","use.ht","use.act","use.mass","Primary.person"
1,7.06666666666667,7.10271806030798,0.036,2.163,-2,"adult_work","PC.0500.060","PC.0500.060.099.F","body hygiene , hand soap","Personal","","I",291.2,NA,0.036,NA,NA,"3","5",1,4.945,124,50,1,"M",27,2.163,0,0.588,1
1,7.10271806030798,7.13876945394929,0.036,2.163,-2,"adult_work","PC.0500.060","PC.0500.060.099.F","body hygiene , hand soap","Personal","","I",291.2,NA,0.036,NA,NA,"3","5",1,4.945,124,50,1,"M",27,2.163,0,0.588,1
1,7.13876945394929,7.16903893210819,0.03,1.816,-2,"adult_work","PC.0500.010","PC.0500.010.099.F","body hygiene , bar soap","Personal","","I",478.685,NA,0.03,NA,NA,"3","3",1,3.008,41,50,1,"M",27,1.816,0,1.576,1
1,7.16903893210819,7.2,0.031,1.858,-1,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,"M",27,NA,NA,NA,1
1,7.2,7.65,0.45,27,3,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,"M",27,NA,NA,NA,1
1,7.65,8.4,0.75,45,2,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,"M",27,NA,NA,NA,1
1,8.4,11.9,3.5,210,7,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,"M",27,NA,NA,NA,1
1,11.9,12.3,0.4,24,5,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,"M",27,NA,NA,NA,1
1,12.3,17.5,5.2,312,7,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,"M",27,NA,NA,NA,1
1,17.5,18.0833333333333,0.583,35,1,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,"M",27,NA,NA,NA,1
1,18.0833333333333,18.1193847269746,0.036,2.163,-2,"adult_work","PC.0500.060","PC.0500.060.099.F","body hygiene , hand soap","Personal","","I",291.2,NA,0.036,NA,NA,"3","5",1,4.945,124,50,1,"M",27,2.163,0,0.588,1
1,18.1193847269746,18.155436120616,0.036,2.163,-2,"adult_work","PC.0500.060","PC.0500.060.099.F","body hygiene , hand soap","Personal","","I",291.2,NA,0.036,NA,NA,"3","5",1,4.945,124,50,1,"M",27,2.163,0,0.588,1
1,18.155436120616,18.1857055987749,0.03,1.816,-2,"adult_work","PC.0500.010","PC.0500.010.099.F","body hygiene , bar soap","Personal","","I",478.685,NA,0.03,NA,NA,"3","3",1,3.008,41,50,1,"M",27,1.816,0,1.576,1
1,18.1857055987749,18.2076438025371,0.022,1.316,-2,"adult_work","PC.0900.070","PC.0900.070.051.F","dental care , toothpaste","Personal","Teeth care","I",728,NA,0.047,"PC.0900.070.051.F PC.0900.050.099.F","Teeth care--tkcisttk","3","2",1,1.978,41,50,1,"M",27,1.316,0,0.424,1
1,18.2076438025371,18.2330913160415,0.025,1.527,-2,"adult_work","PC.0900.050","PC.0900.050.099.F","dental care , mouthwash","Personal","Teeth care","I",728,NA,0.047,"PC.0900.070.051.F PC.0900.050.099.F","Teeth care--tkcisttk","3","2",1,1.978,41,50,1,"M",27,1.527,0,15.133,1
1,18.2330913160415,18.2535081345063,0.02,1.225,-2,"adult_work","PC.2300.080","PC.2300.080.099.F","make-up and related , lip balm","Personal","","I",970.667,NA,0.02,NA,NA,"3","2",1,1.484,41,50,1,"M",27,1.225,0,1.443,1
1,18.2535081345063,18.6858527750278,0.432,25.941,-2,"adult_work","AC.0700.020","AC.0700.020.099.F","home office , pens and markers","Personal","","I",1440,NA,0.432,NA,NA,"3","1",1,1,41,50,1,"M",27,25.941,0,0.018,1
